FEEDBACK_APP;FEEDBACK_VALUE;FEEDBACK_DATE;USER_ID;DATE;RTT;DL;UL;DJ;UJ;DTH;UTH;SKYPE___VOICE_CALL___MOS;YOUTUBE___VIDEO_PLAYBACK___P_720___MOS;NETWORK_CLASS;NETWORK_TYPE;MOBILE_OPERATOR;SIGNAL_STRENGTH_RSSI__dBm(0);SIGNAL_STRENGTH_LEVEL(0);IS_IN_AIRPLANE_MODE;IS_MOBILE_DATA_ENABLED;IS_ROAMING_DATA_ENABLED;IS_IN_ROAMING;IS_WIFI_CONNECTED;SIGNAL_STRENGTH_RSSI__dBm(1);SIGNAL_STRENGTH_LEVEL(1)
HANGOUTS___GENERAL___MOS;5;2017-12-14 15:05:17.092000;b058f43c-e2c3-4105-9c6a-d1bd49c3d5f8;2017-12-14 15:05:09.310000;1763210746;0;0;404856,44;975678,91;2450218,014;1825932,766;5;3;3G;HSPAP;20801;-97;;;;;False;False;+Inf;2147483647
MESSENGER___GENERAL___MOS;5;2017-12-18 09:52:25.406000;b058f43c-e2c3-4105-9c6a-d1bd49c3d5f8;2017-12-18 09:52:20.662000;5040786,26;0;0;556120,26;816236,06;9113961,102;16534836,79;5;5;3G;HSUPA;20801;-95;;;;;False;True;-55;5
YOUTUBE___VIDEO_PLAYBACK___P_720___MOS;5;2017-12-19 19:12:43.825000;b058f43c-e2c3-4105-9c6a-d1bd49c3d5f8;2017-12-19 19:12:20.219000;4334517,09;0;0;695170,78;518225,2;6065353,285;9643325,15;5;5;3G;HSUPA;20801;-93;;;;;False;True;-58;5
YOUTUBE___VIDEO_PLAYBACK___P_720___MOS;2;2018-01-20 16:23:44.997000;77a801f9-152d-4aeb-aa04-cc3c67b974e6;2018-01-20 16:23:46.649000;329386535;0;0;1574777,3;1292943,7;205204,0004;929413,0506;4;5;3G;HSPAP;20801;-93;;;;;False;False;-Inf;-2147483648
YOUTUBE___VIDEO_PLAYBACK___P_720___MOS;5;2018-01-27 11:07:53.400000;967806a3-f2c5-4161-a6a5-f6dd8f1403ca;2018-01-27 11:07:25.968000;96561779,23;0;0;878999,2;1620245,4;4882325,485;443891,7155;5;5;4G;LTE;20810;-118;;;;;False;False;-Inf;-2147483648
RSS___GENERAL___MOS;2;2018-03-02 19:27:13.239000;967806a3-f2c5-4161-a6a5-f6dd8f1403ca;2018-03-02 19:27:28.291000;74936463,61;0;0;730823,8;1692476,72;7065996,749;1300184,67;5;5;4G;LTE;22210;-112;3;;;;True;False;-Inf;-2147483648
WEB___GENERAL___MOS;1;2018-03-25 21:10:37.285000;967806a3-f2c5-4161-a6a5-f6dd8f1403ca;2018-03-25 21:10:13.579000;283621531,3;0;0;1764648,08;3778392,36;3240557,846;295336,0927;5;5;3G;HSPAP;20810;-113;1;False;True;True;False;False;+Inf;2147483647
INSTAGRAM___GENERAL___MOS;3;2019-04-18 18:55:07.740000;84a0d1eb-3ae9-4427-a391-655d2e292d77;2019-04-18 18:54:59.925000;12767780;0;0;941168,87;205313,37;7179501,707;6079195,992;5;5;4G;LTE;310260;-100;3;False;True;True;False;False;-Inf;-2147483648
FACEBOOK___GENERAL___MOS;2;2019-04-18 18:56:35.792000;84a0d1eb-3ae9-4427-a391-655d2e292d77;2019-04-18 18:56:58.624000;20419040;0;0;2529481,18;1720606,65;6206060,606;4709789,906;5;5;4G;LTE;310260;-100;3;False;True;True;False;False;-Inf;-2147483648
INSTAGRAM___GENERAL___MOS;3;2019-04-18 18:57:46.367000;84a0d1eb-3ae9-4427-a391-655d2e292d77;2019-04-18 18:57:57.882000;4210950;0;0;1076875,16;763994,16;4654930,16;5150050,964;5;5;4G;LTE;310260;-100;3;False;True;True;False;False;-Inf;-2147483648
FACEBOOK___GENERAL___MOS;2;2019-04-18 19:00:36.788000;84a0d1eb-3ae9-4427-a391-655d2e292d77;2019-04-18 19:00:57.256000;2102830;0;0;370968,15;142236,89;10368824,79;5089374,56;5;5;4G;LTE;310260;-100;3;False;True;True;False;False;-Inf;-2147483648
FACEBOOK___GENERAL___MOS;5;2019-04-18 19:02:47.048000;84a0d1eb-3ae9-4427-a391-655d2e292d77;2019-04-18 19:02:57.318000;4945840;0;0;1050905,33;446649,53;10811594,82;4438059,247;5;5;4G;LTE;310260;-100;3;False;True;True;False;False;-Inf;-2147483648
INSTAGRAM___GENERAL___MOS;5;2019-04-18 19:03:26.522000;84a0d1eb-3ae9-4427-a391-655d2e292d77;2019-04-18 19:02:57.318000;4945840;0;0;1050905,33;446649,53;10811594,82;4438059,247;5;5;4G;LTE;310260;-100;3;False;True;True;False;False;-Inf;-2147483648
EMAIL___GENERAL___MOS;4;2019-04-18 19:04:12.602000;84a0d1eb-3ae9-4427-a391-655d2e292d77;2019-04-18 19:03:57.421000;2104180;0;0;375038,9;113679,02;10059338,35;5702396,336;5;5;4G;LTE;310260;-100;3;False;True;True;False;False;-Inf;-2147483648
NETFLIX___GENERAL___MOS;4;2019-04-18 19:05:45.347000;84a0d1eb-3ae9-4427-a391-655d2e292d77;2019-04-18 19:05:57.921000;6081600;0;0;1206762,05;998650,75;7764705,882;4971255,857;5;5;4G;LTE;310260;-100;3;False;True;True;False;False;-Inf;-2147483648
SNAPCHAT___GENERAL___MOS;1;2019-04-18 19:06:17.925000;84a0d1eb-3ae9-4427-a391-655d2e292d77;2019-04-18 19:05:57.921000;6081600;0;0;1206762,05;998650,75;7764705,882;4971255,857;5;5;4G;LTE;310260;-100;3;False;True;True;False;False;-Inf;-2147483648
INSTAGRAM___GENERAL___MOS;1;2019-04-18 19:15:55.334000;84a0d1eb-3ae9-4427-a391-655d2e292d77;2019-04-18 19:15:57.232000;3530840;0;0;527979,49;266957,34;10238448,72;4716951,854;5;5;4G;LTE;310260;-100;3;False;True;True;False;False;-Inf;-2147483648
INSTAGRAM___GENERAL___MOS;5;2019-04-18 19:39:30.387000;84a0d1eb-3ae9-4427-a391-655d2e292d77;2019-04-18 19:39:57.880000;7218490;0;0;2067237,85;2421179,95;10825911,45;4699155,631;5;5;4G;LTE;310260;-100;3;False;True;True;False;False;-Inf;-2147483648
SPOTIFY___GENERAL___MOS;5;2019-04-19 10:55:49.428000;86ac0398-dca7-404a-bf79-4d23da9ec447;2019-04-19 10:56:12.129000;3835246,28;0;0;623187,18;495877,1;11543009,68;18944732,64;5;5;UNKNOWN;UNKNOWN;20815;-63;5;False;True;False;False;True;-65;4
HANGOUTS___GENERAL___MOS;4;2019-04-23 10:39:59.229000;84a0d1eb-3ae9-4427-a391-655d2e292d77;2019-04-23 10:39:33.473000;13386816,86;0;0;849974,86;363695;10238686,76;6843163,345;5;5;4G;LTE;310260;-100;3;False;True;True;False;False;-Inf;-2147483648
EMAIL___GENERAL___MOS;5;2019-05-07 13:08:14.111000;9a1161bd-9140-4c42-af7b-25f7423c73f1;2019-05-07 13:08:34.102000;51196364,58;0;0;791526,44;1510031,65;7699784,129;1837263,568;5;5;4G;LTE;20810;-111;3;False;True;True;False;False;+Inf;2147483647
